name;RW;chipaddr;addr;dat;ack
I2C;W;0x0F;0x8C71;0x17;True
I2C;W;0x0F;0x8C72;0x4B;True
I2C;W;0x0F;0x8C73;0x0F;True
I2C;W;0x0F;0x8C74;0xF0;True
I2C;W;0x0F;0x8C75;0x1E;True
I2C;W;0x0F;0x8C76;0x00;True
I2C;W;0x0F;0x8C77;0x0A;True
I2C;W;0x0F;0x8C78;0x20;True
I2C;W;0x0F;0x8C79;0x20;True
I2C;W;0x0F;0x8C7A;0x20;True
I2C;W;0x0F;0x8C7B;0x20;True
I2C;W;0x0F;0x8C7C;0x20;True
I2C;W;0x0F;0x8C7D;0x20;True
I2C;W;0x0F;0x8C7E;0x01;True
I2C;W;0x0F;0x8C7F;0x4C;True
I2C;W;0x0F;0x8C80;0x02;True
I2C;W;0x0F;0x8C81;0x03;True
I2C;W;0x0F;0x8C82;0x17;True
I2C;W;0x0F;0x8C83;0x74;True
I2C;W;0x0F;0x8C84;0x47;True
I2C;W;0x0F;0x8C85;0x00;True
I2C;W;0x0F;0x8C86;0x00;True
I2C;W;0x0F;0x8C87;0x00;True
I2C;W;0x0F;0x8C88;0x00;True
I2C;W;0x0F;0x8C89;0x00;True
I2C;W;0x0F;0x8C8A;0x00;True
I2C;W;0x0F;0x8C8B;0x00;True
I2C;W;0x0F;0x8C8C;0x23;True
I2C;W;0x0F;0x8C8D;0x09;True
I2C;W;0x0F;0x8C8E;0x7F;True
I2C;W;0x0F;0x8C8F;0x07;True
I2C;W;0x0F;0x8C90;0x66;True
I2C;W;0x0F;0x8C91;0x03;True
I2C;W;0x0F;0x8C92;0x0C;True
I2C;W;0x0F;0x8C93;0x00;True
I2C;W;0x0F;0x8C94;0x30;True
I2C;W;0x0F;0x8C95;0x00;True
I2C;W;0x0F;0x8C96;0x80;True
I2C;W;0x0F;0x8C97;0x9C;True
I2C;W;0x0F;0x8C98;0x6A;True
I2C;W;0x0F;0x8C99;0x70;True
I2C;W;0x0F;0x8C9A;0x56;True
I2C;W;0x0F;0x8C9B;0x81;True
I2C;W;0x0F;0x8C9C;0xB0;True
I2C;W;0x0F;0x8C9D;0x0C;True
I2C;W;0x0F;0x8C9E;0x40;True
I2C;W;0x0F;0x8C9F;0x5C;True
I2C;W;0x0F;0x8CA0;0x05;True
I2C;W;0x0F;0x8CA1;0x63;True
I2C;W;0x0F;0x8CA2;0x00;True
I2C;W;0x0F;0x8CA3;0x5A;True
I2C;W;0x0F;0x8CA4;0xA0;True
I2C;W;0x0F;0x8CA5;0x00;True
I2C;W;0x0F;0x8CA6;0x00;True
I2C;W;0x0F;0x8CA7;0x00;True
I2C;W;0x0F;0x8CA8;0x18;True
I2C;W;0x0F;0x8CA9;0x9C;True
I2C;W;0x0F;0x8CAA;0x6A;True
I2C;W;0x0F;0x8CAB;0x70;True
I2C;W;0x0F;0x8CAC;0x56;True
I2C;W;0x0F;0x8CAD;0x81;True
I2C;W;0x0F;0x8CAE;0xB0;True
I2C;W;0x0F;0x8CAF;0x0C;True
I2C;W;0x0F;0x8CB0;0x40;True
I2C;W;0x0F;0x8CB1;0x5C;True
I2C;W;0x0F;0x8CB2;0x05;True
I2C;W;0x0F;0x8CB3;0x63;True
I2C;W;0x0F;0x8CB4;0x00;True
I2C;W;0x0F;0x8CB5;0x5A;True
I2C;W;0x0F;0x8CB6;0xA0;True
I2C;W;0x0F;0x8CB7;0x00;True
I2C;W;0x0F;0x8CB8;0x00;True
I2C;W;0x0F;0x8CB9;0x00;True
I2C;W;0x0F;0x8CBA;0x18;True
I2C;W;0x0F;0x8CBB;0x9C;True
I2C;W;0x0F;0x8CBC;0x6A;True
I2C;W;0x0F;0x8CBD;0x70;True
I2C;W;0x0F;0x8CBE;0x56;True
I2C;W;0x0F;0x8CBF;0x81;True
I2C;W;0x0F;0x8CC0;0xB0;True
I2C;W;0x0F;0x8CC1;0x0C;True
I2C;W;0x0F;0x8CC2;0x40;True
I2C;W;0x0F;0x8CC3;0x5C;True
I2C;W;0x0F;0x8CC4;0x05;True
I2C;W;0x0F;0x8CC5;0x63;True
I2C;W;0x0F;0x8CC6;0x00;True
I2C;W;0x0F;0x8CC7;0x5A;True
I2C;W;0x0F;0x8CC8;0xA0;True
I2C;W;0x0F;0x8CC9;0x00;True
I2C;W;0x0F;0x8CCA;0x00;True
I2C;W;0x0F;0x8CCB;0x00;True
I2C;W;0x0F;0x8CCC;0x18;True
I2C;W;0x0F;0x8CCD;0x9C;True
I2C;W;0x0F;0x8CCE;0x6A;True
I2C;W;0x0F;0x8CCF;0x70;True
I2C;W;0x0F;0x8CD0;0x56;True
I2C;W;0x0F;0x8CD1;0x81;True
I2C;W;0x0F;0x8CD2;0xB0;True
I2C;W;0x0F;0x8CD3;0x0C;True
I2C;W;0x0F;0x8CD4;0x40;True
I2C;W;0x0F;0x8CD5;0x5C;True
I2C;W;0x0F;0x8CD6;0x05;True
I2C;W;0x0F;0x8CD7;0x63;True
I2C;W;0x0F;0x8CD8;0x00;True
I2C;W;0x0F;0x8CD9;0x5A;True
I2C;W;0x0F;0x8CDA;0xA0;True
I2C;W;0x0F;0x8CDB;0x00;True
I2C;W;0x0F;0x8CDC;0x00;True
I2C;W;0x0F;0x8CDD;0x00;True
I2C;W;0x0F;0x8CDE;0x18;True
I2C;W;0x0F;0x8CDF;0x9C;True
I2C;W;0x0F;0x8CE0;0x6A;True
I2C;W;0x0F;0x8CE1;0x70;True
I2C;W;0x0F;0x8CE2;0x56;True
I2C;W;0x0F;0x8CE3;0x81;True
I2C;W;0x0F;0x8CE4;0xB0;True
I2C;W;0x0F;0x8CE5;0x0C;True
I2C;W;0x0F;0x8CE6;0x40;True
I2C;W;0x0F;0x8CE7;0x5C;True
I2C;W;0x0F;0x8CE8;0x05;True
I2C;W;0x0F;0x8CE9;0x63;True
I2C;W;0x0F;0x8CEA;0x00;True
I2C;W;0x0F;0x8CEB;0x5A;True
I2C;W;0x0F;0x8CEC;0xA0;True
I2C;W;0x0F;0x8CED;0x00;True
I2C;W;0x0F;0x8CEE;0x00;True
I2C;W;0x0F;0x8CEF;0x00;True
I2C;W;0x0F;0x8CF0;0x18;True
I2C;W;0x0F;0x8CF1;0x00;True
I2C;W;0x0F;0x8CF2;0x00;True
I2C;W;0x0F;0x8CF3;0x00;True
I2C;W;0x0F;0x8CF4;0x00;True
I2C;W;0x0F;0x8CF5;0x00;True
I2C;W;0x0F;0x8CF6;0x00;True
I2C;W;0x0F;0x8CF7;0x00;True
I2C;W;0x0F;0x8CF8;0x00;True
I2C;W;0x0F;0x8CF9;0x00;True
I2C;W;0x0F;0x8CFA;0x00;True
I2C;W;0x0F;0x8CFB;0x00;True
I2C;W;0x0F;0x8CFC;0x00;True
I2C;W;0x0F;0x8CFD;0x00;True
I2C;W;0x0F;0x8CFE;0x00;True
I2C;W;0x0F;0x8CFF;0xB7;True
I2C;W;0x0F;0x85D1;0x01;True
I2C;W;0x0F;0x8560;0x24;True
I2C;W;0x0F;0x8563;0x11;True
I2C;W;0x0F;0x8564;0x0F;True
I2C;W;0x0F;0x8A02;0x42;True
I2C;W;0x0F;0x8543;0x02;True
I2C;W;0x0F;0x8544;0x11;True
I2C;W;0x0F;0x8600;0x00;True
I2C;W;0x0F;0x8602;0xF3;True
I2C;W;0x0F;0x8603;0x02;True
I2C;W;0x0F;0x8604;0x0C;True
I2C;W;0x0F;0x8606;0x05;True
I2C;W;0x0F;0x8607;0x00;True
I2C;W;0x0F;0x8652;0x02;True
I2C;W;0x0F;0x8671;0xBA490C02;True
I2C;W;0x0F;0x8675;0x89B0E101;True
I2C;W;0x0F;0x854A;0x01;True
I2C;R;0x0F;0x00;;True
I2C;R;0x0F;0x00;;True
I2C;R;0x0F;0x00;;True
I2C;R;0x0F;0x00;;True
I2C;R;0x0F;0x00;;True
I2C;R;0x0F;0x00;;True
I2C;R;0x0F;0x00;;True
I2C;R;0x0F;0x00;;True
I2C;R;0x0F;0x00;;True
I2C;R;0x0F;0x00;;True
I2C;R;0x0F;0x00;;True
I2C;R;0x0F;0x00;;True
I2C;R;0x0F;0x00;;True
I2C;R;0x0F;0x00;;True
I2C;R;0x0F;0x00;;True
I2C;R;0x0F;0x00;;True
I2C;R;0x0F;0x00;;True
I2C;R;0x0F;0x00;;True
I2C;R;0x0F;0x00;;True
I2C;R;0x0F;0x00;;True
